Method,Task Clock (msec),Context Switches,CPU Migrations,Page Faults,Instructions,Cycles,Stalled Cycles Frontend,Branches,Branch Misses,L1-dcache Load Misses,Backend Bound,Sched Wakeup,Sched Wakeup New,Elapsed Time (s)
async,32099.07,3754,56,50303,233427763887,129234952758,2570346072,14335259863,162465104,8848922955,129232985464,2499,47,3.3621
double,23937.16,535,43,98989,307425295087,107371336646,3399219943,33283827214,235936331,13150735618,107372548612,380,15,22.794
fifo,32495.15,3898,51,50115,232389993637,131603031910,2697975643,14343972768,163165371,8849204098,131597559773,2771,31,3.3817
lifo,32460.97,6475,53,50115,232367191321,130923515836,2636982435,14327563236,161170086,8847389017,130907796242,2786,31,3.3528
openBLAS,14101.72,2430,38,103096,109721954569,58549067531,6394921372,15703857349,443755631,3239837818,58544915962,865,15,5.4268
openMP,107745.14,13870,90,50196,598551334867,430647274588,34936193501,77225213806,757653930,26504796253,430678464988,8833,30,8.1529
parallel_standard,32088.99,8374,167,50373,232457807817,130988998012,2821509676,14349003661,164366142,8838021247,130982986542,2567,47,3.3064
single,16087.88,520,45,49833,231277482147,72078032975,2382674416,14326189276,161714888,8660694840,72081250812,899,15,14.947
tbb,53955.58,9024,349,985316,397510179398,215647341268,6208209685,23996982895,326944098,9238886101,215648040511,5017,30,4.957
