Method,Task Clock (msec),Context Switches,CPU Migrations,Page Faults,Instructions,Cycles,Stalled Cycles Frontend,Branches,Branch Misses,L1-dcache Load Misses,Backend Bound,Sched Wakeup,Sched Wakeup New,Elapsed Time (s)
async,3166.95,231,25,4343,14240592999,14986286649,7869032083,2528872296,304443136,152388290,14957798160,36,55,0.122149
double,3378.1,105,7,7285,18259736216,16124428262,8354187967,3361035368,324162975,193984429,16089085333,30,47,0.369434
fifo,3149.93,541,37,5058,14556631247,14882244674,7852477260,2496568425,304252261,159530753,14867265449,184,95,0.119425
lifo,3147.16,511,34,5058,14498315920,14872303600,7846999223,2493714116,303070135,159367896,14847464594,183,95,0.120069
openBLAS,4120.65,2092,7,8980,17680505674,19570513951,10471818218,3680276534,408348780,56616817,19565731300,40,47,0.23983
openMP,9633.03,29253,125,5348,39410959081,45683350191,9026191801,9365439862,332076861,353872582,45616498038,201,94,0.2222
parallel_standard,3172.9,209,21,4343,14358460621,15029898884,7844853000,2532296570,307289173,144072879,14995930130,25,55,0.123787
single,3239.5,136,7,4207,14741574654,15131411334,8156094783,2595379729,316062426,142962432,15096034873,38,47,0.22554
tbb,3346.15,1010,107,21853,17178834599,15822359646,8127260338,2703880668,312390106,163700008,15796307098,190,93,0.148216
