Method,Task Clock (msec),Context Switches,CPU Migrations,Page Faults,Instructions,Cycles,Stalled Cycles Frontend,Branches,Branch Misses,L1-dcache Load Misses,Backend Bound,Sched Wakeup,Sched Wakeup New,Elapsed Time (s)
async,16664.39,164,31,50923,239525735291,79491580280,9179794239,15716184782,351921944,7873511849,79437597216,62,79,1.25937
double,16025.72,241,8,99537,313125667103,80291398537,10299237098,34658289496,410988457,10686459129,80265863446,150,47,13.06435
fifo,18715.19,284,111,51201,238465241682,89184406911,9226869419,15711101542,351336007,7933527387,89144748562,150,95,1.38831
lifo,18397.48,286,113,51200,238431951354,87672115700,9202549175,15705719600,351277130,7963416069,87629026881,135,95,1.3552
openBLAS,13849.32,254,18,105739,104099462908,66701719377,19309634777,18176562938,761030765,1975466845,66754062817,123,47,3.60624
openMP,110771.1,1295,161,51475,631833497439,527578276515,13173022362,86697154279,474029780,29510038193,527547241813,606,94,3.04122
parallel_standard,16526.09,179,32,50924,238428171182,78880424792,9201738310,15710374258,350818913,7866582361,78818217339,67,79,1.28344
single,12806.82,265,7,50381,237315056397,66268730462,9169043076,15714476203,350993895,7640212998,66233446593,186,47,9.81961
tbb,32189.39,6624,331,1101801,409191723142,153092516854,15024579366,26478719814,534418483,9041550062,153078876991,1291,94,1.99439
