Method,Task Clock (msec),Instructions,Branches,Branch Misses,Cycles,Backend Bound,Stalled Cycles Frontend,Elapsed Time (s),Cache Misses
async,8797.029815,229745157502,13519415572,11620815,161125982687,221332460449,322206428284,8.7969,262818785
double,39210.415645,303286807206,32313835418,63266173,137689250658,296171345313,275425975498,39.21,808540801
fifo,8733.057695,228922596423,13525052887,11557120,161777044187,221012238084,323483149260,8.7329,350264557
lifo,8736.679627,228942978590,13533017719,11867704,161820010537,221056167340,323607949086,8.7365,339508284
openBLAS,12892.74596,100975887909,13605599044,59434203,78644726536,113506086986,157344205844,12.8926,824510874
openMP,20536.985238,586650559499,73876263256,554805983,446557515694,532957586238,893080510428,20.537,235886549
parallel_standard,8492.628802,228687398606,13520165097,12182893,163047221831,220878991732,326053312358,8.4925,486375696
single,27245.775269,227543744743,13474352999,9505409,98061938802,219384605766,196160713450,27.2456,194571777
tbb,13501.011445,392736729065,22693169858,29653822,260182339130,430010644013,520413337518,13.5009,523519752
